Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,1,0,0,1
Algeria,1,0,0,1
Australia,22,0,11,11
Austria,2,0,0,2
Bahrain,33,0,0,33
Belgium,1,0,1,0
Brazil,1,0,0,1
Cambodia,1,0,1,0
Canada,11,0,3,8
Croatia,3,0,0,3
Egypt,1,0,0,1
Finland,2,0,1,1
France,18,2,11,5
Georgia,1,0,0,1
Germany,27,0,15,12
Greece,1,0,0,1
Hong Kong,91,2,24,65
India,3,0,3,0
Iran,139,19,49,71
Iraq,5,0,0,5
Israel,2,0,0,2
Italy,453,12,3,438
Japan,189,2,22,165
Kuwait,26,0,0,26
Lebanon,2,0,0,2
Macau,10,0,7,3
Mainland China,78065,2715,30053,45297
Malaysia,22,0,18,4
Nepal,1,0,1,0
North Macedonia,1,0,0,1
Norway,1,0,0,1
Oman,4,0,0,4
Others,705,4,10,691
Pakistan,2,0,0,2
Philippines,3,1,1,1
Romania,1,0,0,1
Russia,2,0,2,0
Singapore,93,0,62,31
South Korea,1261,12,22,1227
Spain,13,0,2,11
Sri Lanka,1,0,1,0
Sweden,2,0,0,2
Switzerland,1,0,0,1
Taiwan,32,1,5,26
Thailand,40,0,22,18
UK,13,0,8,5
US,59,0,6,53
United Arab Emirates,13,0,4,9
Vietnam,16,0,16,0
