Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,906,30,99,777
Albania,539,26,283,230
Algeria,2418,364,846,1208
Andorra,696,35,191,470
Angola,19,2,5,12
Antigua and Barbuda,23,3,3,17
Argentina,2669,123,666,1880
Armenia,1201,19,402,780
Australia,6522,66,3808,2648
Austria,14595,431,9704,4460
Azerbaijan,1340,15,528,797
Bahamas,54,9,6,39
Bahrain,1740,7,725,1008
Bangladesh,1838,75,58,1705
Barbados,75,5,15,55
Belarus,4779,42,342,4395
Belgium,36138,5163,7961,23014
Belize,18,2,0,16
Benin,35,1,18,16
Bhutan,5,0,2,3
Bolivia,465,31,26,408
Bosnia and Herzegovina,1214,46,320,848
Botswana,15,1,0,14
Brazil,33682,2141,14026,17515
Brunei,136,1,112,23
Bulgaria,846,41,141,664
Burkina Faso,557,35,294,228
Burma,88,4,5,79
Burundi,5,1,0,4
Cabo Verde,56,1,1,54
Cambodia,122,0,98,24
Cameroon,996,22,164,810
Canada,32814,1355,10545,20914
Central African Republic,12,0,4,8
Chad,27,0,5,22
Chile,9252,116,3621,5515
China,83760,4636,77552,1572
Colombia,3439,153,634,2652
Congo (Brazzaville),143,6,11,126
Congo (Kinshasa),287,23,25,239
Costa Rica,649,4,88,557
Cote d\'Ivoire,688,6,193,489
Croatia,1814,36,600,1178
Cuba,923,31,192,700
Cyprus,750,12,77,661
Czechia,6549,173,1174,5202
Denmark,7268,336,3571,3361
Diamond Princess,712,13,644,55
Djibouti,732,2,76,654
Dominica,16,0,8,8
Dominican Republic,4126,200,268,3658
Ecuador,8450,421,838,7191
Egypt,2844,205,646,1993
El Salvador,177,7,38,132
Equatorial Guinea,79,0,4,75
Eritrea,35,0,0,35
Estonia,1459,38,145,1276
Eswatini,16,1,8,7
Ethiopia,96,3,15,78
Fiji,17,0,0,17
Finland,3489,82,1700,1707
France,149130,18703,35006,95421
Gabon,108,1,7,100
Gambia,9,1,2,6
Georgia,370,3,79,288
Germany,141397,4352,83114,53931
Ghana,641,8,83,550
Greece,2224,108,269,1847
Grenada,14,0,6,8
Guatemala,214,7,21,186
Guinea,477,3,59,415
Guinea-Bissau,43,0,0,43
Guyana,63,6,9,48
Haiti,43,3,0,40
Holy See,8,0,2,6
Honduras,442,41,10,391
Hungary,1763,156,207,1400
Iceland,1754,9,1224,521
India,14352,486,2041,11825
Indonesia,5923,520,607,4796
Iran,79494,4958,54064,20472
Iraq,1482,81,906,495
Ireland,13980,530,77,13373
Israel,12982,151,3126,9705
Italy,172434,22745,42727,106962
Jamaica,143,5,25,113
Japan,9787,190,935,8662
Jordan,407,7,265,135
Kazakhstan,1546,17,347,1182
Kenya,246,11,53,182
"Korea, South",10635,230,7829,2576
Kosovo,480,12,84,384
Kuwait,1658,5,258,1395
Kyrgyzstan,489,5,114,370
Laos,19,0,2,17
Latvia,682,5,88,589
Lebanon,668,21,86,561
Liberia,76,7,7,62
Libya,49,1,11,37
Liechtenstein,79,1,55,23
Lithuania,1149,33,210,906
Luxembourg,3480,72,579,2829
MS Zaandam,9,2,0,7
Madagascar,117,0,33,84
Malawi,17,2,3,12
Malaysia,5251,86,2967,2198
Maldives,28,0,16,12
Mali,171,13,34,124
Malta,422,3,91,328
Mauritania,7,1,2,4
Mauritius,324,9,108,207
Mexico,6297,486,2125,3686
Moldova,2264,56,276,1932
Monaco,94,3,20,71
Mongolia,31,0,5,26
Montenegro,303,5,55,243
Morocco,2564,135,281,2148
Mozambique,34,0,2,32
Namibia,16,0,4,12
Nepal,30,0,2,28
Netherlands,30619,3471,315,26833
New Zealand,1409,11,816,582
Nicaragua,9,1,4,4
Niger,627,18,110,499
Nigeria,493,17,159,317
North Macedonia,1117,49,139,929
Norway,6937,161,32,6744
Oman,1069,6,176,887
Pakistan,7025,135,1765,5125
Panama,4016,109,98,3809
Papua New Guinea,7,0,0,7
Paraguay,199,8,30,161
Peru,13489,300,6541,6648
Philippines,5878,387,487,5004
Poland,8379,332,866,7181
Portugal,19022,657,519,17846
Qatar,4663,7,464,4192
Romania,8067,411,1508,6148
Russia,32008,273,2590,29145
Rwanda,143,0,65,78
Saint Kitts and Nevis,14,0,0,14
Saint Lucia,15,0,11,4
Saint Vincent and the Grenadines,12,0,1,11
San Marino,435,39,57,339
Sao Tome and Principe,4,0,0,4
Saudi Arabia,7142,87,1049,6006
Senegal,342,2,198,142
Serbia,5690,110,534,5046
Seychelles,11,0,5,6
Sierra Leone,26,0,0,26
Singapore,5050,11,708,4331
Slovakia,1049,9,175,865
Slovenia,1304,66,174,1064
Somalia,116,6,2,108
South Africa,2783,50,903,1830
South Sudan,4,0,0,4
Spain,190839,20002,74797,96040
Sri Lanka,244,7,77,160
Sudan,33,6,4,23
Suriname,10,1,6,3
Sweden,13216,1400,550,11266
Switzerland,27078,1327,16400,9351
Syria,38,2,5,31
Taiwan*,395,6,166,223
Tanzania,147,5,11,131
Thailand,2700,47,1689,964
Timor-Leste,18,0,1,17
Togo,83,5,48,30
Trinidad and Tobago,114,8,20,86
Tunisia,864,37,43,784
Turkey,78546,1769,8631,68146
US,699706,36773,58545,604388
Uganda,56,0,20,36
Ukraine,4662,125,246,4291
United Arab Emirates,6302,37,1188,5077
United Kingdom,109769,14607,394,94768
Uruguay,502,9,286,207
Uzbekistan,1405,4,156,1245
Venezuela,204,9,111,84
Vietnam,268,0,198,70
West Bank and Gaza,402,2,69,331
Western Sahara,6,0,0,6
Yemen,1,0,0,1
Zambia,52,2,30,20
Zimbabwe,24,3,2,19
